2016-04-05 10:34:23 MSK ERROR:  canceling statement due to user request
2016-04-05 10:34:23 MSK STATEMENT:  select pg_sleep(60)
2016-04-05 10:34:26 MSK LOG:  server process (PID 4867) was terminated by signal 11: Segmentation fault
2016-04-05 10:34:26 MSK DETAIL:  Failed process was running: SELECT test_plpy_postgres_crash(trunc(random() * 5 + 1)::integer)
2016-04-05 10:34:26 MSK LOG:  terminating any other active server processes
2016-04-05 10:34:26 MSK WARNING:  terminating connection because of crash of another server process
2016-04-05 10:34:26 MSK DETAIL:  The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.
2016-04-05 10:34:26 MSK HINT:  In a moment you should be able to reconnect to the database and repeat your command.
2016-04-05 10:34:26 MSK WARNING:  terminating connection because of crash of another server process
2016-04-05 10:34:26 MSK DETAIL:  The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.
2016-04-05 10:34:26 MSK HINT:  In a moment you should be able to reconnect to the database and repeat your command.
2016-04-05 10:34:26 MSK WARNING:  terminating connection because of crash of another server process
2016-04-05 10:34:26 MSK DETAIL:  The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.
2016-04-05 10:34:26 MSK HINT:  In a moment you should be able to reconnect to the database and repeat your command.
2016-04-05 10:34:26 MSK WARNING:  terminating connection because of crash of another server process
2016-04-05 10:34:26 MSK DETAIL:  The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.
2016-04-05 10:34:26 MSK HINT:  In a moment you should be able to reconnect to the database and repeat your command.
2016-04-05 10:34:26 MSK WARNING:  terminating connection because of crash of another server process
2016-04-05 10:34:26 MSK DETAIL:  The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.
2016-04-05 10:34:26 MSK HINT:  In a moment you should be able to reconnect to the database and repeat your command.
2016-04-05 10:34:26 MSK WARNING:  terminating connection because of crash of another server process
2016-04-05 10:34:26 MSK DETAIL:  The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.
2016-04-05 10:34:26 MSK HINT:  In a moment you should be able to reconnect to the database and repeat your command.
2016-04-05 10:34:26 MSK WARNING:  terminating connection because of crash of another server process
2016-04-05 10:34:26 MSK DETAIL:  The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.
2016-04-05 10:34:26 MSK HINT:  In a moment you should be able to reconnect to the database and repeat your command.
2016-04-05 10:34:26 MSK WARNING:  terminating connection because of crash of another server process
2016-04-05 10:34:26 MSK DETAIL:  The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.
2016-04-05 10:34:26 MSK HINT:  In a moment you should be able to reconnect to the database and repeat your command.
2016-04-05 10:34:26 MSK WARNING:  terminating connection because of crash of another server process
2016-04-05 10:34:26 MSK DETAIL:  The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.
2016-04-05 10:34:26 MSK HINT:  In a moment you should be able to reconnect to the database and repeat your command.
2016-04-05 10:34:26 MSK WARNING:  terminating connection because of crash of another server process
2016-04-05 10:34:26 MSK DETAIL:  The postmaster has commanded this server process to roll back the current transaction and exit, because another server process exited abnormally and possibly corrupted shared memory.
2016-04-05 10:34:26 MSK HINT:  In a moment you should be able to reconnect to the database and repeat your command.
2016-04-05 10:34:26 MSK LOG:  all server processes terminated; reinitializing
2016-04-05 10:34:26 MSK LOG:  database system was interrupted; last known up at 2016-04-05 10:29:41 MSK
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:26 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK FATAL:  the database system is in recovery mode
2016-04-05 10:34:27 MSK LOG:  database system was not properly shut down; automatic recovery in progress
2016-04-05 10:34:27 MSK LOG:  redo starts at 1/38DF13F0
2016-04-05 10:34:27 MSK LOG:  invalid record length at 1/38E1CDC0
2016-04-05 10:34:27 MSK LOG:  redo done at 1/38E1C358
2016-04-05 10:34:27 MSK LOG:  last completed transaction was at log time 2016-04-05 10:32:44.130442+03
2016-04-05 10:34:27 MSK LOG:  MultiXact member wraparound protections are now enabled
2016-04-05 10:34:27 MSK LOG:  database system is ready to accept connections
2016-04-05 10:34:27 MSK LOG:  autovacuum launcher started
2016-04-05 10:34:40 MSK LOG:  could not receive data from client: Connection reset by peer
2016-04-05 10:34:40 MSK LOG:  could not receive data from client: Connection reset by peer
2016-04-05 10:34:40 MSK LOG:  could not receive data from client: Connection reset by peer

